date,close,high,low,open,volume
2019-09-27 15:45:00+00:00,218.84,218.91,218.71,218.87,265357.0
2019-09-30 09:30:00+00:00,221.64,221.67,221.55,221.57,56383.0
2019-09-30 09:45:00+00:00,221.75,221.84,221.68,221.77,51326.0
2019-09-30 10:00:00+00:00,221.82,221.89,221.65,221.66,76946.0
2019-09-30 10:15:00+00:00,221.81,221.8,221.64,221.68,43419.0
2019-09-30 10:30:00+00:00,221.83,221.95,221.66,221.67,58759.0
2019-09-30 10:45:00+00:00,222.64,222.64,222.42,222.45,109349.0
2019-09-30 11:00:00+00:00,222.97,223.0,222.91,222.99,55858.0
2019-09-30 11:15:00+00:00,223.23,223.24,223.06,223.1,45506.0
2019-09-30 11:30:00+00:00,223.36,223.4,223.35,223.37,34350.0
2019-09-30 11:45:00+00:00,223.18,223.21,223.08,223.12,43707.0
2019-09-30 12:00:00+00:00,223.57,223.67,223.55,223.68,40316.0
2019-09-30 12:15:00+00:00,223.97,223.99,223.9,223.93,84628.0
2019-09-30 12:30:00+00:00,224.2,224.25,224.11,224.11,52882.0
2019-09-30 12:45:00+00:00,224.42,224.43,224.3,224.34,75098.0
2019-09-30 13:00:00+00:00,224.15,224.21,224.14,224.16,28241.0
2019-09-30 13:15:00+00:00,223.98,224.03,223.94,224.02,31633.0
2019-09-30 13:30:00+00:00,224.04,224.09,224.03,224.03,17834.0
2019-09-30 13:45:00+00:00,224.17,224.25,224.16,224.25,20668.0
2019-09-30 14:00:00+00:00,223.93,224.01,223.93,224.0,46811.0
2019-09-30 14:15:00+00:00,224.02,224.04,223.97,223.98,22323.0
2019-09-30 14:30:00+00:00,224.23,224.28,224.15,224.14,64604.0
2019-09-30 14:45:00+00:00,224.11,224.2,224.08,224.17,24430.0
2019-09-30 15:00:00+00:00,224.13,224.14,224.05,224.07,30197.0
2019-09-30 15:15:00+00:00,224.07,224.1,224.02,224.06,30154.0
2019-09-30 15:30:00+00:00,223.92,223.98,223.81,223.87,71369.0
2019-09-30 15:45:00+00:00,223.97,224.13,223.82,223.84,523684.0
2019-10-01 09:30:00+00:00,227.28,227.58,227.12,227.45,199416.0
2019-10-01 09:45:00+00:00,228.06,228.11,227.9,227.94,119001.0
2019-10-01 10:00:00+00:00,226.34,226.76,226.11,226.54,151292.0
2019-10-01 10:15:00+00:00,226.76,226.77,226.47,226.58,101972.0
2019-10-01 10:30:00+00:00,226.55,226.62,226.38,226.5,65859.0
2019-10-01 10:45:00+00:00,226.18,226.36,226.05,226.35,90127.0
2019-10-01 11:00:00+00:00,226.65,226.65,226.47,226.5,48887.0
2019-10-01 11:15:00+00:00,227.63,227.64,227.48,227.56,76807.0
2019-10-01 11:30:00+00:00,226.6,226.66,226.57,226.65,68120.0
2019-10-01 11:45:00+00:00,226.26,226.36,226.18,226.2,42791.0
2019-10-01 12:00:00+00:00,225.56,225.6,225.47,225.5,66570.0
2019-10-01 12:15:00+00:00,225.53,225.56,225.37,225.49,40212.0
2019-10-01 12:30:00+00:00,226.16,226.21,226.06,226.07,39926.0
2019-10-01 12:45:00+00:00,225.36,225.63,225.35,225.58,103070.0
2019-10-01 13:00:00+00:00,224.96,225.04,224.91,224.94,20619.0
2019-10-01 13:15:00+00:00,225.17,225.2,225.03,225.12,85338.0
2019-10-01 13:30:00+00:00,225.12,225.19,225.02,225.04,43136.0
2019-10-01 13:45:00+00:00,224.88,224.89,224.75,224.78,43096.0
2019-10-01 14:00:00+00:00,225.04,225.11,225.01,225.1,21223.0
2019-10-01 14:15:00+00:00,224.99,225.07,224.95,225.02,20818.0
2019-10-01 14:30:00+00:00,225.3,225.46,224.93,225.41,38632.0
2019-10-01 14:45:00+00:00,225.17,225.19,225.0,225.09,45574.0
2019-10-01 15:00:00+00:00,225.09,225.19,225.07,225.08,40080.0
2019-10-01 15:15:00+00:00,225.2,225.27,225.13,225.27,45966.0
2019-10-01 15:30:00+00:00,224.97,224.98,224.81,224.81,133699.0
2019-10-01 15:45:00+00:00,224.58,224.62,224.27,224.42,317577.0
2019-10-02 09:30:00+00:00,221.45,221.54,221.28,221.28,137315.0
2019-10-02 09:45:00+00:00,221.29,221.37,220.89,220.9,173620.0
2019-10-02 10:00:00+00:00,220.78,220.95,220.67,220.88,74474.0
2019-10-02 10:15:00+00:00,220.46,220.59,220.35,220.42,72640.0
2019-10-02 10:30:00+00:00,219.65,219.76,219.61,219.72,74630.0
2019-10-02 10:45:00+00:00,219.78,220.03,219.73,220.03,94382.0
2019-10-02 11:00:00+00:00,219.89,219.99,219.83,219.93,34172.0
2019-10-02 11:15:00+00:00,219.71,219.7,219.53,219.64,35450.0
2019-10-02 11:30:00+00:00,219.23,219.38,219.16,219.27,66643.0
2019-10-02 11:45:00+00:00,219.2,219.3,219.17,219.17,29496.0
2019-10-02 12:00:00+00:00,218.82,218.83,218.63,218.68,52471.0
2019-10-02 12:15:00+00:00,218.82,218.91,218.8,218.85,27141.0
2019-10-02 12:30:00+00:00,218.34,218.38,218.13,218.15,79624.0
2019-10-02 12:45:00+00:00,218.44,218.46,218.24,218.38,64693.0
2019-10-02 13:00:00+00:00,219.15,219.21,219.03,219.08,88466.0
2019-10-02 13:15:00+00:00,219.13,219.33,219.1,219.16,67972.0
2019-10-02 13:30:00+00:00,218.84,218.99,218.85,218.9,25091.0
2019-10-02 13:45:00+00:00,218.71,218.8,218.7,218.71,35678.0
2019-10-02 14:00:00+00:00,218.79,218.85,218.65,218.72,58839.0
2019-10-02 14:15:00+00:00,219.2,219.36,219.17,219.33,42951.0
2019-10-02 14:30:00+00:00,219.25,219.33,219.18,219.27,35189.0
2019-10-02 14:45:00+00:00,219.25,219.24,219.06,219.07,82999.0
2019-10-02 15:00:00+00:00,219.4,219.49,219.32,219.32,62146.0
2019-10-02 15:15:00+00:00,219.38,219.51,219.34,219.47,61708.0
2019-10-02 15:30:00+00:00,219.57,219.67,219.42,219.63,97567.0
2019-10-02 15:45:00+00:00,218.96,219.36,218.89,219.03,592520.0
2019-10-03 09:30:00+00:00,218.01,218.09,217.74,217.84,127797.0
2019-10-03 09:45:00+00:00,218.28,218.56,218.19,218.55,115721.0
2019-10-03 10:00:00+00:00,216.12,216.44,215.9,215.91,188510.0
2019-10-03 10:15:00+00:00,216.83,217.09,216.69,216.79,80091.0
2019-10-03 10:30:00+00:00,216.84,216.98,216.76,216.98,50437.0
2019-10-03 10:45:00+00:00,217.46,217.62,216.78,217.16,154286.0
2019-10-03 11:00:00+00:00,218.96,219.12,218.89,219.09,44370.0
2019-10-03 11:15:00+00:00,219.12,219.23,219.06,219.1,56675.0
2019-10-03 11:30:00+00:00,219.22,219.24,218.93,218.96,55478.0
2019-10-03 11:45:00+00:00,218.83,218.86,218.77,218.87,19798.0
2019-10-03 12:00:00+00:00,219.39,219.47,219.36,219.42,35045.0
2019-10-03 12:15:00+00:00,219.99,220.14,219.86,220.06,67512.0
2019-10-03 12:30:00+00:00,220.22,220.22,220.11,220.13,41782.0
2019-10-03 12:45:00+00:00,220.59,220.77,220.56,220.68,67241.0
2019-10-03 13:00:00+00:00,220.48,220.61,220.46,220.48,41970.0
2019-10-03 13:15:00+00:00,220.53,220.6,220.5,220.58,45063.0
2019-10-03 13:30:00+00:00,220.55,220.64,220.53,220.63,12829.0
2019-10-03 13:45:00+00:00,220.65,220.66,220.58,220.63,15708.0
2019-10-03 14:00:00+00:00,220.32,220.35,220.24,220.24,27117.0
2019-10-03 14:15:00+00:00,220.48,220.56,220.43,220.56,30870.0
2019-10-03 14:30:00+00:00,220.09,220.17,220.06,220.16,23574.0
2019-10-03 14:45:00+00:00,220.01,220.09,220.01,220.01,11948.0
2019-10-03 15:00:00+00:00,219.99,220.07,219.97,220.06,23159.0
2019-10-03 15:15:00+00:00,220.08,220.09,219.95,219.98,39606.0
2019-10-03 15:30:00+00:00,220.26,220.36,220.23,220.36,31807.0
2019-10-03 15:45:00+00:00,220.8,220.94,220.47,220.54,369818.0
2019-10-04 09:30:00+00:00,224.68,225.11,224.52,225.1,176692.0
2019-10-04 09:45:00+00:00,224.85,224.93,224.79,224.82,77957.0
2019-10-04 10:00:00+00:00,224.88,224.91,224.74,224.75,85510.0
2019-10-04 10:15:00+00:00,224.52,224.9,224.4,224.91,175944.0
2019-10-04 10:30:00+00:00,224.72,224.87,224.67,224.77,45548.0
2019-10-04 10:45:00+00:00,225.14,225.22,225.08,225.22,52227.0
2019-10-04 11:00:00+00:00,225.84,225.93,225.79,225.79,127132.0
2019-10-04 11:15:00+00:00,225.72,225.89,225.55,225.83,127445.0
2019-10-04 11:30:00+00:00,225.73,225.81,225.66,225.8,64697.0
2019-10-04 11:45:00+00:00,226.04,226.12,225.91,225.97,93202.0
2019-10-04 12:00:00+00:00,225.84,226.04,225.79,226.05,58881.0
2019-10-04 12:15:00+00:00,225.71,225.92,225.7,225.93,52055.0
2019-10-04 12:30:00+00:00,225.58,225.73,225.57,225.69,39831.0
2019-10-04 12:45:00+00:00,225.95,226.04,225.93,226.01,21928.0
2019-10-04 13:00:00+00:00,226.05,226.09,225.92,226.0,35771.0
2019-10-04 13:15:00+00:00,226.19,226.22,226.12,226.14,30595.0
2019-10-04 13:30:00+00:00,226.25,226.33,226.22,226.31,28490.0
2019-10-04 13:45:00+00:00,226.3,226.32,226.25,226.27,20748.0
2019-10-04 14:00:00+00:00,226.92,226.96,226.84,226.84,108245.0
2019-10-04 14:15:00+00:00,226.82,226.88,226.81,226.83,28834.0
2019-10-04 14:30:00+00:00,227.32,227.35,227.19,227.22,76542.0
2019-10-04 14:45:00+00:00,226.9,226.93,226.85,226.87,20396.0
2019-10-04 15:00:00+00:00,226.42,226.48,226.39,226.47,32385.0
2019-10-04 15:15:00+00:00,226.18,226.35,226.12,226.35,112559.0
2019-10-04 15:30:00+00:00,226.54,226.54,226.4,226.41,130354.0
2019-10-04 15:45:00+00:00,227.0,227.09,226.64,227.01,666910.0
2019-10-07 09:30:00+00:00,226.9,227.09,226.53,226.54,235526.0
2019-10-07 09:45:00+00:00,227.04,227.08,226.83,226.9,124459.0
2019-10-07 10:00:00+00:00,227.95,227.95,227.79,227.82,69978.0
2019-10-07 10:15:00+00:00,227.99,228.09,227.99,228.08,63852.0
2019-10-07 10:30:00+00:00,227.98,228.17,227.97,228.02,71027.0
2019-10-07 10:45:00+00:00,228.76,228.76,228.66,228.68,62759.0
2019-10-07 11:00:00+00:00,228.89,228.89,228.68,228.69,82247.0
2019-10-07 11:15:00+00:00,228.84,228.91,228.81,228.88,43709.0
2019-10-07 11:30:00+00:00,229.17,229.25,229.14,229.21,46110.0
2019-10-07 11:45:00+00:00,229.4,229.42,229.16,229.18,148199.0
2019-10-07 12:00:00+00:00,228.9,229.02,228.83,229.01,41573.0
2019-10-07 12:15:00+00:00,228.96,228.98,228.93,228.96,27782.0
2019-10-07 12:30:00+00:00,229.3,229.31,229.16,229.24,109868.0
2019-10-07 12:45:00+00:00,229.38,229.4,229.35,229.38,22236.0
2019-10-07 13:00:00+00:00,228.91,228.93,228.87,228.9,21951.0
2019-10-07 13:15:00+00:00,228.72,228.87,228.71,228.84,47174.0
2019-10-07 13:30:00+00:00,229.62,229.68,229.56,229.65,31865.0
2019-10-07 13:45:00+00:00,229.88,229.92,229.86,229.88,24813.0
2019-10-07 14:00:00+00:00,228.61,228.65,228.51,228.56,59886.0
2019-10-07 14:15:00+00:00,228.67,228.72,228.58,228.58,103726.0
2019-10-07 14:30:00+00:00,227.89,227.95,227.81,227.86,39381.0
2019-10-07 14:45:00+00:00,227.43,227.46,227.1,227.27,114217.0
